"Date","Open","High","Low","Close","Volume","MarketCap"
2018-05-23,4.26,4.3,3.77,3.81,11898800,196720236
2018-05-24,3.82,4.01,3.64,3.97,13108400,205340152
2018-05-25,4,4.06,3.79,3.87,9473830,199938464
2018-05-26,3.87,4.02,3.85,3.88,8792070,200489422
2018-05-27,3.88,3.89,3.7,3.77,7663110,194645245
2018-05-28,3.77,3.8,3.42,3.45,11038900,178862639
2018-05-29,3.45,3.95,3.44,3.9,12871600,203329192
2018-05-30,3.91,4.03,3.78,3.86,6071460,194219063
2018-05-31,3.84,4.07,3.84,4,8813080,201571608
2018-06-01,4,4.08,3.94,4.04,7836800,203405441
2018-06-02,4.03,4.16,4.01,4.13,6768440,208275404
2018-06-03,4.13,4.35,4.12,4.32,6853900,218004489
2018-06-04,4.32,4.37,4.09,4.12,7362650,207727401
2018-06-05,4.12,4.23,4.04,4.23,7803570,213632852
2018-06-06,4.23,4.24,4.1,4.19,5447580,212614434
2018-06-07,4.19,4.24,4.15,4.15,8005600,210110470
2018-06-08,4.15,4.19,4.05,4.09,9881760,206628003
2018-06-09,4.08,4.12,4.04,4.04,4671640,204062920
2018-06-10,4.03,4.03,3.45,3.54,6285750,178853263
2018-06-11,3.55,3.61,3.48,3.59,4503960,181458100
2018-06-12,3.59,3.63,3.32,3.34,4720510,168958907
2018-06-13,3.35,3.37,3.07,3.17,4834310,160251709
2018-06-14,3.18,3.48,3.13,3.46,4916880,175028102
2018-06-15,3.46,3.47,3.24,3.26,5679610,164656244
2018-06-16,3.25,3.33,3.24,3.3,5541570,166713460
2018-06-17,3.3,3.36,3.3,3.3,4206560,166483811
2018-06-18,3.3,3.44,3.25,3.42,5509590,172560376
2018-06-19,3.42,3.58,3.39,3.55,8399400,179083527
2018-06-20,3.55,3.58,3.42,3.55,9480600,179420257
2018-06-21,3.56,3.6,3.47,3.48,7494280,174959401
2018-06-22,3.48,3.48,3.03,3.08,7742510,154967046
2018-06-23,3.08,3.16,3.04,3.12,3301040,157100013
2018-06-24,3.13,3.13,2.79,2.98,7910360,149923183
2018-06-25,2.98,3.07,2.94,3.03,6981860,152448922
2018-06-26,3.03,3.04,2.84,2.84,5077670,142649958
2018-06-27,2.83,2.89,2.79,2.88,5579980,144585796
2018-06-28,2.88,2.88,2.73,2.75,5776670,137880884
2018-06-29,2.74,2.83,2.64,2.82,6225820,141325492
2018-06-30,2.82,2.96,2.82,2.96,4415320,148891781
2018-07-01,2.96,2.99,2.93,2.95,5292860,147627429
2018-07-02,2.94,3.11,2.9,3.08,6024710,154383983
2018-07-03,3.08,3.23,2.99,3.01,6782730,150977730
2018-07-04,3,3.15,2.96,3.07,5643920,154101634
2018-07-05,3.08,3.19,3.05,3.05,6468870,153238489
2018-07-06,3.01,3.11,2.94,3.07,6300550,154024642
2018-07-07,3.06,3.19,3.03,3.19,4112880,159928399
2018-07-08,3.2,3.25,3.15,3.15,5605150,157464731
2018-07-09,3.14,3.16,2.51,2.73,7128740,138862449
2018-07-10,2.72,2.73,2.29,2.33,2271140,118385469
2018-07-11,2.33,2.35,2.07,2.09,3221720,106666792
2018-07-12,2.09,2.09,2.01,2.03,6189460,103641433
2018-07-13,2.04,2.08,2.02,2.04,5220220,104295821
2018-07-14,2.05,2.07,2.03,2.05,3094570,104486830
2018-07-15,2.04,2.13,2.04,2.11,3873860,108058904
2018-07-16,2.12,2.29,2.11,2.29,7543220,117233495
2018-07-17,2.29,2.45,2.26,2.41,6150720,123342357
2018-07-18,2.41,2.47,2.3,2.32,7979310,118574251
2018-07-19,2.32,2.33,2.25,2.27,6523020,116154661
2018-07-20,2.27,2.31,2.16,2.19,9841210,111904605
2018-07-21,2.18,2.26,2.16,2.25,6620700,115227007
2018-07-22,2.24,2.3,2.22,2.23,5395750,114247870
2018-07-23,2.22,2.3,2.19,2.2,11069500,112986933
2018-07-24,2.2,2.33,2.19,2.33,11108600,119329099
2018-07-25,2.33,2.34,2.25,2.3,7670820,117947772
2018-07-26,2.3,2.36,2.23,2.25,6701460,115329288
2018-07-27,2.25,2.3,2.21,2.27,5670550,116313714
2018-07-28,2.27,2.29,2.25,2.28,4882120,116774906
2018-07-29,2.28,2.33,2.26,2.29,8917900,117515328
2018-07-30,2.29,2.31,2.23,2.27,6904960,116868998
2018-07-31,2.27,2.28,2.13,2.16,6088690,110882229
2018-08-01,2.16,2.16,2.06,2.11,4730500,108331706
2018-08-02,2.11,2.13,2.04,2.05,4920170,105050741
2018-08-03,2.04,2.06,1.97,2.05,4736670,104938434
2018-08-04,2.04,2.06,1.97,2.01,4240150,103075146
2018-08-05,2.01,2.05,1.98,2.03,3459150,104542181
2018-08-06,2.04,2.06,2,2,4285120,102953152
2018-08-07,2.02,2.05,1.88,1.9,3560360,97664583
2018-08-08,1.9,1.96,1.77,1.79,5886430,91866293
2018-08-09,1.79,1.89,1.79,1.87,4449720,96559103
2018-08-10,1.87,1.87,1.7,1.72,6845620,88987517
2018-08-11,1.72,1.73,1.61,1.7,6653540,87964809
2018-08-12,1.68,1.71,1.67,1.67,2641100,86406188
2018-08-13,1.67,1.72,1.51,1.51,4125100,78596551
2018-08-14,1.51,1.51,1.36,1.48,5173340,76941916
2018-08-15,1.49,1.62,1.49,1.51,3710780,78769594
2018-08-16,1.52,1.61,1.51,1.56,3550600,81185255
2018-08-17,1.56,1.73,1.56,1.73,4478380,90205794
2018-08-18,1.73,1.76,1.59,1.62,3707130,84833876
2018-08-19,1.62,1.68,1.6,1.66,3540770,86523650
2018-08-20,1.66,1.67,1.54,1.55,3964050,81282887
2018-08-21,1.55,1.62,1.55,1.61,3794020,84742804
2018-08-22,1.62,1.69,1.54,1.57,4187970,82385912
2018-08-23,1.57,1.6,1.56,1.59,3240410,83798591
2018-08-24,1.6,1.65,1.57,1.64,4524410,86267109
2018-08-25,1.64,1.65,1.59,1.62,4037650,85066825
2018-08-26,1.61,1.62,1.57,1.59,2863800,83839516
2018-08-27,1.59,1.66,1.57,1.66,4696900,87449825
2018-08-28,1.67,1.74,1.66,1.74,3040140,91896020
2018-08-29,1.74,1.74,1.68,1.69,4058920,89150509
2018-08-30,1.69,1.7,1.61,1.66,3797000,87851124
